Peter Fleischmann	1972
Shaji N. Karun	1994,1989
Todd Solondz	2001,1998
Gonzalo Suárez	1984
Lau Lauritzen Jr.	1946
Michel Gondry	2008,2012,2001
Tom Kalin	2007
Vincent Patar	2012,2012
Elmar Klos	1965
Nathanael Carton	2011
Nicole Garcia	2002,1986,2006,2016
Pirjo Honkasalo	1981
António Ferreira	2000
Bogdan Mirică	2016,2016,2016
Tim Hamilton	2001
Mathias Gokalp	2009
Damien O'Donnell	1999,1999
Kishore Sahu	1954
Laurie McInnes	1993,1987
Liviu Ciulei	1965,1965
Tinieblas González	1998
Henry Jacques	1956
Jean-Pierre Jeunet	1995
Lynn-Maree Danzey	1998
David Perrault	2013,2013
Laurence Boulting	1970
Daniel Auteuil	1996
Shirley Barrett	1996
Casper Wermuth	2012
Radu Jude	2014
Spiros Stathoulopoulos	2007,2007,2007
Julie Lopes-Curval	2002
Robert Altman	1977,1972,1970,1992,1987,1992,1996,1986
Stig Björkman	2015,2015
Asia Argento	2004,2014
Jean Becker	1983
Paul Thomas Anderson	1996,2002,2002
Robert Bresson	1983,1957,1957,1962,1962,1967,1967,1967,1974,1983,1962
Axelle Ropert	2009,2009
Gian Maria Volonté	1972,1983
Oliver Hermanus	2011,2011
Sławomir Fabicki	2006
Thomas Vinterberg	1998,1998,2012,2012
Alberto Cavalcanti	1954
Alistair Banks Griffin	2010,2010
Anne-Marie Miéville	1988
Bruno Merle	2007
Julian Schnabel	2007,2007
Christopher Doyle	2000
Karim Dridi	1995,2000
Maren Ade	2016,2016
Simon Cartwright	2015
Terry Gilliam	1998
Armand Gatti	1963
Joe Tucker	2007
Cate Shortland	2004,2004
Deepa Mehta	1991
Guillaume Nicloux	2015
Kazimierz Kutz	1972
Sandrine Bonnaire	2007,2008,2007,2007
Wi Ding Ho	2005,2005
Fang Song	2009
Ingrid Sinclair	1996
Jane Aaron	1987
Janus Metz Pedersen	2010,2010
Arthur Ripley	1947
Nara Normande	2014
John Sturges	1955
Stefano Mordini	2016
Boo Junfeng	2010,2010,2016
Manuel Poutte	1992,1992
Walon Green	1971
John Hillcoat	2012
Ruairi Robinson	2013,2013
Dalibor Matanić	2009,2015,2015
Fons Rademakers	1971,1961,1963
Mamoru Oshii	2004
Eric Mendelsohn	1999
Michel Brault	1975,1975,1963
Jiří Brdečka	1969
Jörg Graser	1990
Stéphane Brizé	1999,2015,2015,1999
Atsuko Hirayanagi	2017,2014,2017
David Lynch	2001,1990,2001,1999,1992
Lichuan Yin	2008
Lars von Trier	1996,1991,1984,1991,1991,2011,1991,1996,1984,2009,2005,2003,2000,1998
Lester James Peries	1957
Richard Fleischer	1959
Claire Devers	1989,1986
Henri Colpi	1963,1961,1963,1963
Jens Ravn	1969
Merzak Allouache	2012,2012,1994,1987
Rémy Belvaux	1992,1992
Alicia Duffy	2010,2001,2010,2003
David Greenspan	2001
Eduardo Calcagno	1970
Ryan Coogler	2013,2013,2013
Wong Kar-wai	2007,2004,2000,1997,1997
Ladislao Vajda	1955,1956,1954,1953,1955
Fatih Akin	2007,2007,2007,2017
Keren Yedaya	2004,2004,2004,2014,2004,2004
Nadine Labaki	2011,2011,2007,2007,2011
Ernst Marischka	1958,1957
Gabe Ibáñez	2009
Jean-Jacques Beineix	1983
Brillante Mendoza	2008,2016,2015,2015,2009,2009,2007
Joachim Lafosse	2012,2008
Sólveig Anspach	2001,2003,2016
Pekka Lehto	1981
Serge Avedikian	2010
Andrew Adamson	2001,2001,2004
Barbet Schroeder	2017,1987,2007
David Cronenberg	1996,2014,2012,2006,2005,2002,1996
Jean-Pierre Améris	2004,1996,1996,1996
Miroslav Sikavica	2016,2016
Victor Iliu	1957
Kim ki	2007,2011,2005
Víctor Urruchúa	1953
Ilian Metev	2012,2012,2012
Nikos Tsiforos	1951
Oded Kotler	1967
Hans Nieter	1956
Lima Barreto	1953,1961,1953
Raoul Coutard	1982,1970,1970
Edmond Séchan	1963
Mats Olof Olsson	1984
Peter Frye	1961
Anne Villacèque	2000,2000
Rolf de Heer	1998,2014,2006,1996
Jean Brismée	1965,1965
León Klimovsky	1951
Václav Krška	1956
Amat Escalante	2005,2005,2008,2013,2013,2005
Benjamin Parent	2012,2012,2012
Harold French	1952
Robin Lehman	1976,1976,1975
János Vadász	1965,1965
Sebastián Silva	2013,2011
Mario O'Hara	2004
Murali Nair	1999,1996,2003
František Čáp	1946
Raphaël Nadjari	2007,2013,2005
Claude Cloutier	1989
Bálint Kenyeres	2005
Cecil B. DeMille	1939
Fabien Hagège	2017,2017
Emmanuelle Bercot	2001,2015,2001,2001,1999,1997,1997
Geoff Dunbar	1975,1992
Anthony Kimmins	1947
Fred Schepisi	1989,1978
René Clément	1946,1946,1961,1954,1954,1949,1949,1947,1946
Ildikó Szabó	1993
Rick Famuyiwa	2015
Pablo Lamar	2008,2009
Zoya Akhtar	2013
Wang Bing	2007
Rebecca Zlotowski	2013,2013,2010,2010
Robert Aldrich	1963
Kurt Meisel	1959
Katia Lewkowicz	2011
Mihalis Kakogiannis	1962,1977,1962,1954,1955,1956,1958,1961,1962
Mohsen Amiryousefi	2004,2004,2004
Nils Reinhardt Christensen	1961
Zeki Demirkubuz	2002
Garri Bardin	2016,1988
Isabel Coixet	2009
Mikhail Kalatozov	1958
Lucky Kuswandi	2015,2015
Danis Tanović	2001,2001
Matthew Robbins	1974
Ugo Tognazzi	1981
