Ingmar Bergman	6648	101	
Marlon Brando	3084	58	
Federico Fellini	4415	90	
Alfred Hitchcock	2636	53	
Buster Keaton	8635	5	
Stanley Kubrick	240	80	
Akira Kurosawa	5026	80	
Bruce Lee	19429	2	
Laurence Olivier	3359	70	
Fran�ois Truffaut	1650	54	
Orson Welles	40	36	
Woody Allen	1243	289	
Luc Besson	59	44	
Kenneth Branagh	11181	85	
Steve Buscemi	884	80	
James Cameron	2710	108	
John Carpenter	11770	33	
George Clooney	1461	240	
Kevin Costner	1269	85	
Clint Eastwood	190	255	
Ron Howard	6159	105	
David Lean	12238	51	
David Lynch	5602	93	
Martin Scorsese	1032	310	
Steven Spielberg	488	325	
Sylvester Stallone	16483	108	
Oliver Stone	1152	95	
Quentin Tarantino	138	252	
John Woo	11401	29	
Pedro Almod�var	309	227	
Robert Altman	9789	126	
Jean-Jacques Annaud	2352	19	
Mel Brooks	14639	50	
Tim Burton	510	85	
Luis Bu�uel	793	54	
Francis Ford Coppola	1776	83	
David Cronenberg	224	124	
Brian de Palma	1150	31	
Julie Delpy	1146	75	
Atom Egoyan	56205	111	
Roland Emmerich	6046	28	
David Fincher	7467	161	
John Ford	8500	47	
Terry Gilliam	280	45	
Jean-Luc Godard	3776	74	
Peter Greenaway	30309	52	
D.W. Griffith	100036	4	
Dennis Hopper	2778	38	
John Hughes	11505	3	
Jim Jarmusch	4429	73	
Jean Pierre Jeunet	2419	66	
John Landis	4610	21	
Fritz Lang	68	7	
Ang lee	1614	173	
Spike Lee	5281	97	
Richard Linklater	564	209	
Terrence Malick	30715	87	
Michael Mann	638	45	
Steve McQueen	13565	18	
Joseph L. Mankiewicz	10601	40	
Wolfgang Petersen	5231	17	
Roman Polanski	3556	142	
Sam Raimi	7623	29	
Harold Ramis	1524	14	
Robert Redford	4135	80	
Ridley Scott	578	118	
Paul Verhoeven	10491	72	
Wim Wenders	2303	146	
Billy Wilder	3146	90	
Robert Zemeckis	24	67	
Robert Aldrich	18392	13	
Paul Thomas Anderson	4762	175	
Theo Angelopoulos	10316	71	
Michelangelo Antonioni	15189	61	
Denys Arcand 	38516	53	
Hal Ashby	4964	14	
Olivier Assayas	21678	67	
John G. Avildsen	16513	11	
John Badham	12840	10	
Ralph Bakshi	16384	6	
Clive Barker	31211	14	
Saul Bass	19460	7	
Noah Baumbach	5656	61	
Mario Bava	25826	1	
Michael Bay	865	16	
Roberto Benigni	4818	73	
Peter Berg	36602	21	
Busby Berkeley	95293	5	
Bernardo Bertolucci	4956	70	
Kathryn Bigelow	14392	119	
Shane Black	1108	15	
John Boorman	19665	46	
Danny Boyle	2034	148	
Robert Bresson	10346	44	
Jane Campion	10757	79	
Frank Capra	2662	23	
John Cassavetes	11147	31	
Claude Chabrol	19069	47	
Michael Cimino	12114	23	
Ethan Coen	1224	279	
Joel Coen	1223	314	
Chris Columbus	10965	26	
Sofia Coppola	1769	104	
Joe Dante	4600	25	
Vittorio De Sica	12329	37	
Cecil B. DeMille	8636	18	
Richard Donner	7187	16	
Blake Edwards	1927	42	
Sergei M. Eisenstein	9603	4	
Rainer Werner Fassbinder	2725	41	
James Foley	15890	6	
John Frankenheimer	13776	55	
William Friedkin	15175	33	
Joel & Ethan Coen	6748	13	
Renny Harlin	16938	15	
Howard Hawks	11435	12	
Jim Henson	55983	59	
Werner Herzog	6818	100	
George Roy Hill	9577	15	
Walter Hill	1723	27	
Tobe Hooper	10051	11	
John Huston	6593	90	
Peter Jackson	108	213	
Neil Jordan	17016	75	
Elia Kazan	2746	59	
Krzysztof Kie_lowski	1126	82	
Takeshi Kitano	3317	79	
Sergio Leone	4385	10	
Jerry Lewis	3663	28	
Sidney Lumet	39996	80	
Adrian Lyne	7270	9	
Louis Malle	15389	58	
Penny Marshall	14911	20	
John McTiernan	1090	10	
Errol Morris	18533	42	
Mike Newell	10723	24	
Mike Nichols	5342	52	
Pier Paolo Pasolini	5970	33	
Sam Peckinpah	7767	12	
Sydney Pollack	2226	62	
Sarah Polley	98	108	
Alex Proyas	21085	12	
Rob Reiner	3026	51	
Robert Rodriguez	2294	44	
Nicolas Roeg	14132	22	
George A. Romero	14999	18	
Ken Russell	32327	25	
Bryan Singer	9032	38	
Steven Soderbergh	1884	92	
Barry Sonnenfeld	5174	15	
Ben Stiller	7399	55	
Tom Stoppard	372	37	
Andrei Tarkovsky	8452	28	
Gus Van Sant	5216	92	
Peter Weir	2690	83	
Lars von Trier	42	170	
Chantal Akerman	130030	21	
Yves All�gret	38072	6	
Emile Ardolino	716	22	
Claude Berri	20718	20	
Costa-Gavras	27436	50	
George Cukor	14674	35	
Michael Curtiz	4109	16	
Stanley Donen	13284	22	
Bob Fosse	66777	20	
Lucio Fulci	29433	2	
Samuel Fuller	26959	11	
Agnieszka Holland	1128	46	
Ken Annakin	35318	4	
Anthony Asquith	32919	10	
Jacques Audiard	17496	95	
Claude Autant-Lara	37770	9	
Gabriel Axel	70636	13	
Richard Franklin	29471	8	
Yves Robert	25182	6	
Claude Miller	18209	34	
Erich von Stroheim	8630	5	
King Hu	83698	11	
Jack Clayton	25630	12	
Preston Sturges	30249	6	
Joe Johnston	4945	8	
Juan Jos� Campanella	84714	75	
Wally Pfister	559	64	
Chris Noonan	58137	10	
Josef von Sternberg	120375	0	
Christopher McQuarrie	9033	10	
Kenji Mizoguchi	97202	14	
Chris Marker	9956	15	
Rob Cohen	18878	4	
Carl Theodor Dreyer	11572	6	
James Mangold	366	9	
Fred Zinnemann	4065	70	
Philippe de Broca	34613	9	
F.W. Murnau	9076	3	
Ryszard Bugajski	83319	11	
Andrew Stanton	7	92	
Andr� �vredal	135113	24	
Jacques Tati	5763	14	
Gavin Hood	13079	30	
George Miller	20629	106	
Walter Murch	154	39	
Darren Aronofsky	6431	106	
Sammo Hung	62410	25	
Spike Jonze	5953	142	
Mike Leigh	65452	160	
Garry Marshall	1201	25	
Sam Mendes	39	61	
Guy Ritchie	956	17	
Jon Turteltaub	12962	2	
Satyajit Ray	12160	55	
Eric Rohmer	28615	47	
Stanley Kramer	4081	50	
Paul McGuigan	2291	18	
Alain Corneau	35927	19	
Tony Gilroy	19242	36	
Tsui Hark	26760	42	
Jennifer Abbott	69360	9	
J.J. Abrams	15344	63	
Hany Abu-Assad	357	39	
Maren Ade	40476	58	
Alexandre Aja	59291	13	
Tomas Alfredson	74396	64	
Alejandro Amen�bar	19840	77	
Brad Anderson	37948	16	
Michael Anderson	20412	12	
Wes Anderson	5655	171	
Roy Andersson	45791	39	
Judd Apatow	41039	43	
Shinji Aramaki	70100	2	
Miguel Arteta	61069	17	
Ray Ashley	1072336	5	
David Ayer	19769	5	
Lloyd Bacon	21305	3	
jaume balaguero	54525	50	
Carroll Ballard	68212	4	
Christophe Barratier	43993	19	
Joy Batchelor	70709	0	
Xavier Beauvois	72320	36	
Jacques Becker	103393	11	
Wolfgang Becker	35673	1	
Greg Beeman	17309	5	
Timur Bekmambetov	23430	16	
Clara Bellar	27637	0	
Malik Bendjelloul	930708	39	
Emmanuelle Bercot	25340	19	
Pablo Berger	95528	38	
Sanjay Leela Bhansali	42804	41	
Halina Bielinska	1138280	1	
Fabi�n Bielinsky	74907	21	
Susanne Bier	1011	72	
Enki Bilal	44070	1	
Brad Bird	7087	54	
Neill Blomkamp	82194	37	
Bertrand Bonello	146438	24	
Joon-ho Bong	21684	87	
Frank Borzage	14855	7	
Emmanuel Bourdieu	56587	11	
Serge Bourguignon	605481	3	
David Breashears	86557	1	
St�phane Briz�	7288	25	
Charlie Brooker	211845	20	
Clarence Brown	84034	8	
Tod Browning	1496	2	
Charles Burnett	97755	19	
Mario Camerini	70298	10	
Martin Campbell	10702	5	
Marcel Camus	232669	3	
Laurent Cantet	17386	56	
Nae Caranfil	55520	14	
