Directorid (bin),Directorname,Avg. Popularity
7,Andrew Stanton,70.839323044
24,Robert Zemeckis,51.107163356
39,Sam Mendes,56.151755742
40,Orson Welles,8.055084229
42,Lars von Trier,21.749092420
59,Luc Besson,55.642821598
68,Fritz Lang,32.351528168
108,Peter Jackson,88.001930131
138,Quentin Tarantino,72.854106903
154,Walter Murch,5.650125027
190,Clint Eastwood,26.886797667
201,Michel Gondry,26.886406094
223,Alejandro Gonz�lez I��rritu,47.614783287
224,David Cronenberg,23.003428119
240,Stanley Kubrick,48.045618693
280,Terry Gilliam,36.947049277
309,Pedro Almod�var,19.747808456
366,James Mangold,29.136876106
468,Stephen Daldry,24.201903725
488,Steven Spielberg,48.498396282
510,Tim Burton,47.007483210
525,Christophe Nolan,185.373246670
559,Wally Pfister,58.991386414
564,Richard Linklater,20.293631749
578,Ridley Scott,57.558050990
608,Hayao Miyazaki,67.209510803
638,Michael Mann,34.689332008
648,Philip Kaufman,12.414263725
716,Emile Ardolino,0.068227999
865,Michael Bay,43.415185928
884,Steve Buscemi,3.438770533
956,Guy Ritchie,42.023559502
957,Matthew Vaughn,30.071561038
1011,Susanne Bier,8.842868805
1032,Martin Scorsese,30.805638865
1071,Tom Tykwer,32.623860550
1090,John McTiernan,32.719406843
1108,Shane Black,55.186059952
1128,Agnieszka Holland,5.062686920
1150,Brian de Palma,24.209924142
1152,Oliver Stone,21.628577318
1201,Garry Marshall,25.462269604
1223,Joel Coen,34.842203140
1243,Woody Allen,17.110940456
1269,Kevin Costner,26.446892420
1461,George Clooney,21.562729454
1524,Harold Ramis,24.722431540
1614,Ang lee,28.673625290
1650,Fran�ois Truffaut,3.654017925
1723,Walter Hill,12.113223910
1744,Robert Wise,24.633248091
1769,Sofia Coppola,25.960113287
1776,Francis Ford Coppola,40.226545572
1884,Steven Soderbergh,29.694696736
1927,Blake Edwards,3.643824548
2034,Danny Boyle,50.758181572
2036,Alex Garland,95.130043030
2087,Richard Fleischer,12.571442366
2127,James Wan,57.766096388
2226,Sydney Pollack,16.251430798
2291,Paul McGuigan,23.681381543
2294,Robert Rodriguez,29.713710696
2352,Jean-Jacques Annaud,18.406445503
2406,Mathieu Kassovitz,27.435900688
2419,Jean Pierre Jeunet,30.507820702
2636,Alfred Hitchcock,19.689357817
2662,Frank Capra,15.384114683
2675,Darren Lynn Bousman,27.613775492
2690,Peter Weir,42.028759480
2710,James Cameron,79.684543610
2746,Elia Kazan,12.093963464
2778,Dennis Hopper,0.679350972
3026,Rob Reiner,22.667354714
3045,P.J. Hogan,15.401855469
3146,Billy Wilder,18.305098534
3317,Takeshi Kitano,5.327713966
3556,Roman Polanski,28.112045288
3776,Jean-Luc Godard,4.452344894
4065,Fred Zinnemann,8.892031384
4081,Stanley Kramer,13.950765133
4109,Michael Curtiz,16.925489426
4135,Robert Redford,12.243306541
4385,Sergio Leone,56.454417229
4387,Fran�ois Ozon,9.602741718
4429,Jim Jarmusch,18.223138809
4453,Thomas Vinterberg,11.555156469
4600,Joe Dante,22.563094616
4610,John Landis,25.452835655
4762,Paul Thomas Anderson,29.342178822
4945,Joe Johnston,28.584859014
4956,Bernardo Bertolucci,14.809161186
5026,Akira Kurosawa,21.343800545
5174,Barry Sonnenfeld,49.457838195
5216,Gus Van Sant,19.281211717
5231,Wolfgang Petersen,36.471994945
5281,Spike Lee,10.453245170
5342,Mike Nichols,11.830949624
5345,Bennett Miller,31.807641029
5602,David Lynch,24.687467384
5655,Wes Anderson,33.731284142
5656,Noah Baumbach,16.181262970
5714,Carlos Saldanha,60.793311119
5834,Robert Stevenson,59.961521149
5877,Vincenzo Natali,20.732466340
5953,Spike Jonze,34.814290524
6011,Michael Haneke,16.757990519
6046,Roland Emmerich,34.144708293
6159,Ron Howard,36.734181111
6431,Darren Aronofsky,40.260844549
6593,John Huston,4.077325583
6648,Ingmar Bergman,11.347854614
6767,Larry Charles,17.690101838
6778,John Guillermin,4.020194054
6818,Werner Herzog,17.209253311
7017,Roger Michell,22.910359065
7018,Richard Curtis,47.637699763
7087,Brad Bird,86.787414551
7187,Richard Donner,23.977697589
7191,David Webb Peoples,6.416779995
7270,Adrian Lyne,15.465172529
7399,Ben Stiller,36.283060074
7467,David Fincher,76.037266159
7482,Julian Schnabel,8.645786881
7623,Sam Raimi,42.378746380
7767,Sam Peckinpah,6.408164859
7775,Stephen Sommers,20.848241568
7832,Oliver Hirschbiegel,24.059525013
8300,Kevin Reynolds,24.057141638
8452,Andrei Tarkovsky,24.132270813
8482,Robert Mulligan,22.139841080
8500,John Ford,7.466979504
8636,Cecil B. DeMille,8.988454819
8685,Andrew Niccol,43.863054276
8876,Randal Kleiser,34.443554878
9032,Bryan Singer,58.628092706
